HVS_lD,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Kamera,Kommentar,SceneID,Häufigkeit,meherere_Kameraperspektive
1,1,Kfz,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_1,1,nein
8,1,Bus,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_8,1,nein
17,1,Tram,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_17,1,nein
24,1,Kfz,hoch,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_24,1,nein
33,1,Einbahn,hoch,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_33,1,nein
47,1,Kfz,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_47,1,ja
54,1,Bus,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_54,1,nein
63,1,Tram,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_63,1,ja
70,1,Kfz,hoch,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_70,1,nein
79,1,Einbahn,hoch,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_79,1,nein
2,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_2,1,nein
18,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_18,1,nein
25,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_25,1,nein
34,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_34,1,nein
48,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_48,1,ja
64,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_64,1,ja
71,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_71,1,nein
80,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_80,1,nein
93,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_93,1,nein
103,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_103,1,nein
108,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_108,1,nein
113,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_113,1,nein
123,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_123,1,ja
133,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_133,1,ja
138,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_138,1,nein
143,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_143,1,nein
153,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_153,1,nein
163,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_163,1,nein
168,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_168,1,nein
173,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_173,1,nein
183,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_183,1,ja
193,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_193,1,ja
198,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_198,1,nein
203,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_203,1,nein
213,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_213,1,nein
223,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_223,1,nein
228,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_228,1,nein
233,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_233,1,nein
243,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_243,1,ja
253,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_253,1,ja
258,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_258,1,nein
263,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_263,1,nein
273,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_273,1,nein
283,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_283,1,nein
288,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_288,1,nein
293,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_293,1,nein
303,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_303,1,ja
313,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_313,1,ja
318,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_318,1,nein
323,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_323,1,nein
333,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_333,1,nein
343,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_343,1,nein
348,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_348,1,nein
353,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_353,1,nein
363,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_363,1,ja
373,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_373,1,ja
378,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_378,1,nein
383,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_383,1,nein
393,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_393,1,nein
403,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_403,1,nein
408,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_408,1,nein
413,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_413,1,nein
423,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_423,1,ja
433,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_433,1,ja
438,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_438,1,nein
443,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_443,1,nein
453,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_453,1,nein
463,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_463,1,nein
468,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_468,1,nein
473,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_473,1,nein
483,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_483,1,ja
493,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_493,1,ja
498,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_498,1,nein
503,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_503,1,nein
513,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_513,1,nein
523,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_523,1,nein
528,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_528,1,nein
533,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_533,1,nein
543,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_543,1,ja
553,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_553,1,ja
558,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_558,1,nein
563,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_563,1,nein
573,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_573,1,nein
579,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_579,1,nein
582,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_582,1,nein
585,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_585,1,nein
591,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_591,1,nein
597,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_597,1,nein
600,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_600,1,nein
603,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_603,1,nein
609,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_609,1,nein
615,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_615,1,nein
618,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_618,1,nein
621,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_621,1,nein
627,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_627,1,nein
633,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_633,1,nein
636,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_636,1,nein
639,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_639,1,nein
645,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_645,1,nein
651,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_651,1,nein
654,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_654,1,nein
657,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_657,1,nein
663,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_663,1,nein
669,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_669,1,nein
672,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_672,1,nein
675,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,durchgezogen,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_675,1,nein
681,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_681,1,nein
691,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_691,1,nein
696,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_696,1,nein
701,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_701,1,nein
711,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_711,1,ja
721,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_721,1,ja
726,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_726,1,nein
731,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,-,-,-,-,C,,01_MS_C_731,1,nein
741,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_741,1,nein
751,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_751,1,nein
756,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_756,1,nein
761,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_761,1,nein
771,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_771,1,ja
781,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_781,1,ja
786,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_786,1,nein
791,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,-,-,-,-,C,,01_MS_C_791,1,nein
801,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_801,1,nein
811,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_811,1,nein
816,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_816,1,nein
821,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_821,1,nein
831,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_831,1,ja
841,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_841,1,ja
846,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_846,1,nein
851,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Schraffiert,-,-,-,-,C,,01_MS_C_851,1,nein
861,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_861,1,nein
867,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_867,1,nein
870,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_870,1,nein
873,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_873,1,nein
879,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_879,1,nein
885,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_885,1,nein
888,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_888,1,nein
891,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_891,1,nein
897,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_897,1,nein
903,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_903,1,nein
906,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_906,1,nein
909,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_909,1,nein
915,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_915,1,nein
921,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_921,1,nein
924,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_924,1,nein
927,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_927,1,nein
933,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_933,1,nein
939,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_939,1,nein
942,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_942,1,nein
945,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_945,1,nein
951,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_951,1,nein
957,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_957,1,nein
960,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_960,1,nein
963,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_963,1,nein
969,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_969,1,nein
975,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_975,1,nein
978,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_978,1,nein
981,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_981,1,nein
987,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_987,1,nein
993,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_993,1,nein
996,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_996,1,nein
999,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_999,1,nein
1005,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1005,1,nein
1011,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1011,1,nein
1014,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1014,1,nein
1017,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1017,1,nein
1023,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1023,1,nein
1029,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1029,1,nein
1032,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1032,1,nein
1035,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Schraffiert,Sperrpfosten_niedrig,-,-,-,C,,01_MS_C_1035,1,nein
