SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
44,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_44,1
45,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,schmal,-,normal,01_CP_C_45,1
46,01,C,Parken,-,-,-,schmal,-,-,schmal,ja,normal,01_CP_C_46,1
47,01,C,Parken,schmal,Gruenstreifen,-,schmal,-,-,schmal,ja,normal,01_CP_C_47,1
48,01,C,Parken,schmal,Aufpflasterung,-,schmal,-,-,schmal,ja,normal,01_CP_C_48,1
49,01,C,Parken,breit,Gruenstreifen,-,schmal,-,-,schmal,ja,normal,01_CP_C_49,1
50,01,C,Parken,breit,Aufpflasterung,-,schmal,-,-,schmal,ja,normal,01_CP_C_50,1
51,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_51,1
52,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_52,1
53,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_53,1
54,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,ja,normal,01_CP_C_54,1
55,01,C,Parken,-,-,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_55,1
56,01,C,Parken,schmal,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_56,1
57,01,C,Parken,schmal,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_57,1
58,01,C,Parken,breit,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_58,1
59,01,C,Parken,breit,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_59,1
60,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_60,1
61,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_61,1
62,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_62,1
63,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_63,1
64,01,C,Parken,-,-,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_64,1
65,01,C,Parken,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_65,1
66,01,C,Parken,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_66,1
