SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
602,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,-,normal,01_CP_C_602,1
603,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,-,normal,01_CP_C_603,1
604,05,C,Gruenanlage,-,-,-,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_604,1
605,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_605,1
606,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_606,1
607,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_607,1
608,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_608,1
609,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_609,1
610,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_610,1
611,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_611,1
612,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,breit,-,normal,01_CP_C_612,1
613,05,C,Gruenanlage,-,-,-,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_613,1
614,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_614,1
615,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_615,1
616,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_616,1
617,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_617,1
618,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_618,1
619,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_619,1
620,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_620,1
621,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,-,normal,01_CP_C_621,1
622,05,C,Gruenanlage,-,-,-,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_622,1
623,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_623,1
624,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_624,1
625,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_625,1
626,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_626,1
627,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_627,1
628,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_628,1
629,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_629,1
630,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,breit,-,normal,01_CP_C_630,1
631,05,C,Gruenanlage,-,-,-,schmal,-,-,breit,ja,normal,01_CP_C_631,1
632,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,-,-,breit,ja,normal,01_CP_C_632,1
633,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,-,-,breit,ja,normal,01_CP_C_633,1
634,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,-,-,breit,ja,normal,01_CP_C_634,1
635,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,-,-,breit,ja,normal,01_CP_C_635,1
636,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,breit,ja,normal,01_CP_C_636,1
637,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,breit,ja,normal,01_CP_C_637,1
638,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,breit,ja,normal,01_CP_C_638,1
639,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,breit,ja,normal,01_CP_C_639,1
640,05,C,Gruenanlage,-,-,-,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_640,1
641,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_641,1
642,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_642,1
643,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_643,1
644,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_644,1
645,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_645,1
646,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_646,1
647,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_647,1
648,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,breit,ja,normal,01_CP_C_648,1
649,05,C,Gruenanlage,-,-,-,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_649,1
650,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_650,1
651,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_651,1
652,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_652,1
653,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_653,1
654,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_654,1
655,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_655,1
656,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_656,1
657,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,breit,ja,normal,01_CP_C_657,1
658,05,C,Gruenanlage,-,-,-,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_658,1
659,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_659,1
660,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_660,1
661,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_661,1
662,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_662,1
663,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_663,1
664,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_664,1
665,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_665,1
666,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Aufpflasterung,breit,ja,normal,01_CP_C_666,1
667,05,C,Gruenanlage,-,-,-,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_667,1
668,05,C,Gruenanlage,schmal,Gruenstreifen,-,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_668,1
669,05,C,Gruenanlage,schmal,Aufpflasterung,-,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_669,1
670,05,C,Gruenanlage,breit,Gruenstreifen,-,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_670,1
671,05,C,Gruenanlage,breit,Aufpflasterung,-,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_671,1
672,05,C,Gruenanlage,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_672,1
673,05,C,Gruenanlage,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_673,1
674,05,C,Gruenanlage,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_674,1
675,05,C,Gruenanlage,breit,Aufpflasterung,Sperrpfosten,schmal,breit,Aufpflasterung,breit,ja,normal,01_CP_C_675,1
676,07,C,Parken,-,-,-,breit,-,-,schmal,-,normal,01_CP_C_676,1
677,07,C,Parken,schmal,Gruenstreifen,-,breit,-,-,schmal,-,normal,01_CP_C_677,1
678,07,C,Parken,schmal,Aufpflasterung,-,breit,-,-,schmal,-,normal,01_CP_C_678,1
679,07,C,Parken,breit,Gruenstreifen,-,breit,-,-,schmal,-,normal,01_CP_C_679,1
680,07,C,Parken,breit,Aufpflasterung,-,breit,-,-,schmal,-,normal,01_CP_C_680,1
681,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_681,1
682,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_682,1
683,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_683,1
684,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_684,1
685,07,C,Parken,-,-,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_685,1
686,07,C,Parken,schmal,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_686,1
687,07,C,Parken,schmal,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_687,1
688,07,C,Parken,breit,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_688,1
689,07,C,Parken,breit,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_689,1
690,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_690,1
691,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_691,1
692,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_692,1
693,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_693,1
694,07,C,Parken,-,-,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_694,1
695,07,C,Parken,schmal,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_695,1
696,07,C,Parken,schmal,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_696,1
697,07,C,Parken,breit,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_697,1
698,07,C,Parken,breit,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_698,1
699,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_699,1
700,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_700,1
701,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_701,1
702,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_702,1
703,07,C,Parken,-,-,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_703,1
704,07,C,Parken,schmal,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_704,1
705,07,C,Parken,schmal,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_705,1
706,07,C,Parken,breit,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_706,1
707,07,C,Parken,breit,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_707,1
708,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_708,1
709,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_709,1
710,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_710,1
711,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_711,1
712,07,C,Parken,-,-,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_712,1
713,07,C,Parken,schmal,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_713,1
714,07,C,Parken,schmal,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_714,1
715,07,C,Parken,breit,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_715,1
716,07,C,Parken,breit,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_716,1
717,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_717,1
718,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_718,1
719,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_719,1
720,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_720,1
721,07,C,Parken,-,-,-,breit,-,-,schmal,ja,normal,01_CP_C_721,1
722,07,C,Parken,schmal,Gruenstreifen,-,breit,-,-,schmal,ja,normal,01_CP_C_722,1
723,07,C,Parken,schmal,Aufpflasterung,-,breit,-,-,schmal,ja,normal,01_CP_C_723,1
724,07,C,Parken,breit,Gruenstreifen,-,breit,-,-,schmal,ja,normal,01_CP_C_724,1
725,07,C,Parken,breit,Aufpflasterung,-,breit,-,-,schmal,ja,normal,01_CP_C_725,1
726,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_726,1
727,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_727,1
728,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_728,1
729,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_729,1
730,07,C,Parken,-,-,-,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_730,1
731,07,C,Parken,schmal,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_731,1
732,07,C,Parken,schmal,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_732,1
733,07,C,Parken,breit,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_733,1
734,07,C,Parken,breit,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_734,1
735,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_735,1
736,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_736,1
737,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_737,1
738,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,ja,normal,01_CP_C_738,1
739,07,C,Parken,-,-,-,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_739,1
740,07,C,Parken,schmal,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_740,1
741,07,C,Parken,schmal,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_741,1
742,07,C,Parken,breit,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_742,1
743,07,C,Parken,breit,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_743,1
744,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_744,1
745,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_745,1
746,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_746,1
747,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,ja,normal,01_CP_C_747,1
748,07,C,Parken,-,-,-,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_748,1
749,07,C,Parken,schmal,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_749,1
750,07,C,Parken,schmal,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_750,1
751,07,C,Parken,breit,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_751,1
752,07,C,Parken,breit,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_752,1
753,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_753,1
754,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_754,1
755,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_755,1
756,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,ja,normal,01_CP_C_756,1
757,07,C,Parken,-,-,-,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_757,1
758,07,C,Parken,schmal,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_758,1
759,07,C,Parken,schmal,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_759,1
760,07,C,Parken,breit,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_760,1
761,07,C,Parken,breit,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_761,1
762,07,C,Parken,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_762,1
763,07,C,Parken,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_763,1
764,07,C,Parken,breit,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_764,1
765,07,C,Parken,breit,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,ja,normal,01_CP_C_765,1
766,08,C,Fahrstreifen,-,-,-,schmal,-,-,schmal,-,normal,01_CP_C_766,1
767,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,-,-,schmal,-,normal,01_CP_C_767,1
768,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,-,-,schmal,-,normal,01_CP_C_768,1
769,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,-,-,schmal,-,normal,01_CP_C_769,1
770,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,-,-,schmal,-,normal,01_CP_C_770,1
771,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_771,1
772,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_772,1
773,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_773,1
774,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,-,normal,01_CP_C_774,1
775,08,C,Fahrstreifen,-,-,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_775,1
776,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_776,1
777,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_777,1
778,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_778,1
779,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_779,1
780,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_780,1
781,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_781,1
782,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_782,1
783,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_783,1
784,08,C,Fahrstreifen,-,-,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_784,1
785,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_785,1
786,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_786,1
787,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_787,1
788,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_788,1
789,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_789,1
790,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_790,1
791,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_791,1
792,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,breit,Gruenstreifen,schmal,-,normal,01_CP_C_792,1
793,08,C,Fahrstreifen,-,-,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_793,1
794,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_794,1
795,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_795,1
796,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_796,1
797,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_797,1
798,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_798,1
799,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_799,1
800,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_800,1
801,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,schmal,Aufpflasterung,schmal,-,normal,01_CP_C_801,1
802,08,C,Fahrstreifen,-,-,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_802,1
803,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_803,1
804,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_804,1
805,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_805,1
806,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_806,1
807,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_807,1
808,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_808,1
809,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_809,1
810,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,breit,Aufpflasterung,schmal,-,normal,01_CP_C_810,1
811,08,C,Fahrstreifen,-,-,-,breit,-,-,schmal,ja,normal,01_CP_C_811,1
812,08,C,Fahrstreifen,schmal,Gruenstreifen,-,breit,-,-,schmal,ja,normal,01_CP_C_812,1
813,08,C,Fahrstreifen,schmal,Aufpflasterung,-,breit,-,-,schmal,ja,normal,01_CP_C_813,1
814,08,C,Fahrstreifen,breit,Gruenstreifen,-,breit,-,-,schmal,ja,normal,01_CP_C_814,1
815,08,C,Fahrstreifen,breit,Aufpflasterung,-,breit,-,-,schmal,ja,normal,01_CP_C_815,1
816,08,C,Fahrstreifen,schmal,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_816,1
817,08,C,Fahrstreifen,schmal,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_817,1
818,08,C,Fahrstreifen,breit,Gruenstreifen,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_818,1
819,08,C,Fahrstreifen,breit,Aufpflasterung,Sperrpfosten,breit,-,-,schmal,ja,normal,01_CP_C_819,1
