Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,66,01_MS_C_66,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,67,01_MS_C_67,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,68,01_MS_C_68,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,69,01_MS_C_69,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,70,01_MS_C_70,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,71,01_MS_C_71,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,72,01_MS_C_72,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-niedrig,-,-,-,
MS,C,73,01_MS_C_73,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,74,01_MS_C_74,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,75,01_MS_C_75,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,76,01_MS_C_76,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,77,01_MS_C_77,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,78,01_MS_C_78,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,79,01_MS_C_79,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,80,01_MS_C_80,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,89,01_MS_C_89,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,90,01_MS_C_90,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,91,01_MS_C_91,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,92,01_MS_C_92,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,93,01_MS_C_93,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,94,01_MS_C_94,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,95,01_MS_C_95,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,96,01_MS_C_96,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Blumenkasten,-,-,-,
MS,C,97,01_MS_C_97,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,98,01_MS_C_98,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,99,01_MS_C_99,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,100,01_MS_C_100,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,-,-,-,-,
MS,C,101,01_MS_C_101,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,102,01_MS_C_102,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,103,01_MS_C_103,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,104,01_MS_C_104,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,schmal,durchgezogen,Sperrpfosten-niedrig,-,-,-,
MS,C,107,01_MS_C_107,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,108,01_MS_C_108,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,111,01_MS_C_111,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
MS,C,112,01_MS_C_112,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
MS,C,115,01_MS_C_115,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,
MS,C,116,01_MS_C_116,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,
MS,C,119,01_MS_C_119,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,-,-,-,-,
MS,C,120,01_MS_C_120,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,durchgezogen,-,-,-,-,
MS,C,123,01_MS_C_123,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,
MS,C,124,01_MS_C_124,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,
MS,C,127,01_MS_C_127,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,-,-,-,-,
MS,C,128,01_MS_C_128,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,-,-,-,-,
MS,C,131,01_MS_C_131,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,-,-,-,-,
MS,C,132,01_MS_C_132,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,-,-,-,-,
MS,C,135,01_MS_C_135,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,-,-,-,-,
MS,C,136,01_MS_C_136,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,-,-,-,-,
MS,C,147,01_MS_C_147,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,148,01_MS_C_148,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,151,01_MS_C_151,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,152,01_MS_C_152,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Sperrfläche,Sperrpfosten-hoch,-,-,-,
MS,C,155,01_MS_C_155,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,156,01_MS_C_156,1,2,Einbahn,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
MS,C,159,01_MS_C_159,1,2,Einbahn,viel,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,breit,Doppellinie,Sperrpfosten-niedrig,-,-,-,
